question,category,answer
How the Club Executive Panel is created?,Curriculum,"New Panel Selection Process

1. The club should have a student Executive Committee comprised of the President, Vice-President, General Secretary, and Financial Secretary. The Executive Committee must comprise four members. Other director positions depend on the nature of the club/forum.

Executive Committee/ Student Representatives [depends on the type of activity]. This panel will work with OCA.

1. President

2. Vice-President

3. General Secretary

4. Financial Secretary

This Director panel will be comprised of 5 to 10 positions depending on the type of activity. OCA needs the list of directors, not the transcript. 

•Director – Program

•Director - Finance

•Director - Media

•Director - Rehearsals

•Director - Logistic support

 

2. Executive Committee should be formed by conducting open elections among the members. Initially, if needed, the Executive Committee could be formed by selecting representatives from the active student members by the advisor and the OCA team.

3. Students on probation or under university disciplinary actions cannot become a member of the Executive Committee.

4. For executive committee membership, students are expected to complete 60 credits and achieve a minimum CGPA of 3.

A. Applicable for Academic Club (Co-Curricular). All four students will have a minimum CGPA of 3.

B. Applicable for Non-Academic Club (Extra Curricular). Half of the panel members (2 students) is expected to have a minimum CGPA of 3. The rest of the members (2 students) is expected to have a minimum CGPA of 2.0. This lower CGPA holder student will get the approval with a condition letter.

C. Applicable for Sports Clubs. Minimum One panel member is expected to have a minimum CGPA of 3. The other three students are expected to have a minimum CGPA of 2.0. This lower CGPA holder student will get the approval with a condition letter.

5. Every club must have one female member on the Executive Committee. Otherwise, the panel will not be approved.

6. A student cannot be a member of the Executive Committee of more than one club/forum at a time. Therefore, a student can be a member (general) of a maximum of two clubs/ forums at a time.

7. It is advised that students enrolled in the last 2 semesters of undergraduate study are not selected as new Executive Committee members of clubs and forums.

8. Every year election/selection is to be conducted for the Executive Committee in the Fall semester (September – November). The final committee must be approved by the club advisor and OCA before public announcements.

9. The president of the club must let all members know of the guidelines of the co-curricular activities."
How to create a new club?,Curriculum,"1. At least 50 student members and one advisor [from BRACU faculty] are expected to be interested to start a club.

2. An application to the director, co-curricular activities with goals, objectives, program calendar, and mode of operation, signed by the advisor/ co-advisor[s] should be submitted by the applicants intending to open the club.

3. The club should have a student Executive Committee comprised of the president, secretaries, and other positions depending on the nature of the club/forum. The Executive Committee should not be comprised of more than 10 members. The Executive Committee should be formed by conducting elections among the members. Initially, if needed, the Executive Committee could be formed by selecting representatives from the active student members by the advisors and the director, OCA. Students on probation or under university disciplinary action cannot become a member of the Executive Committee. For executive committee membership, completion of 60 credits and a achieving minimum CGPA of 3 are expected.

4. BRACU policy on co-curricular activities strongly suggests the inclusion of a female member in the Executive Committee.

5. A student cannot be a member of the Executive Committee of more than one club/forum at a time. Therefore, a student can be a member (general) of maximum of two clubs/ forums at a time.

6. It is advised that students enrolled in the last 2 semesters of their undergraduate study are not included in the Executive Committee of clubs and forums.

7. One faculty can be the advisor of one club/forum at a time. Appointments of the Advisors are approved by the Director, OCA with approval from the Department Heads for a period of 2 years. A club/ forum can have maximum one advisor.

8. One faculty can be the advisor of only one club/forum and be a co-advisor of an additional one more club/forum.

9. If any faculty is not an advisor of any club/forum then s/he can be co-advisor of a maximum of two clubs/forums."
How to apply for club outdoor activites or tour?,Curriculum,"1. The purpose of study tours has to be relevant to the club activities and objectives.

2. Approval from the Registrar through the Director of OCA is required for conducting the tour.

3. Tours are to be conducted during the semester break.

4. Study tour expenses are covered by the club budget.

5. One-day trip: Food cost Tk.200/- per day per person will be allocated

6. Long trips: If more than one day, food cost Tk.1,000/- per day per person will be allocated.

7. Advisors and co-advisor(s) are to accompany the student members on the study tours.

8. Parent Consent form, available at the OCA, to be filled out with the signature of the guardian, and submitted to the OCA with the names of all students and ID numbers.

9. For transport needs, inform the OCA in advance – one week before the tour for within the city, and two weeks before the tour out of town. The OCA coordinates with the transport department for transport arrangements.

10. Students who are active in the club will be the only students to be considered for the study tour for their respective clubs.

11.  A student cannot attend more than one club/forum study tour per semester."
How to submit report after a club event?,Curriculum,"After conducting an online event, a report on the event with detail needs to be submitted to <student_org@bracu.ac.bd> within 5 working days. Without the report, future proposals will not be accepted and approved.

• The report must contain a minimum of 500 words to a maximum of 1000 words with detailed activities, discussion, social impact, and outcome. If you get any media, coverage please provide the link.

• The social media data must be included in the report such as the number of attendees, likes, shares, views, and comments. For the best accuracy please collect this information immediately after the event is completed.

• After receiving and reviewing the appropriate report, we will complete the event or online program. Without completing one program, student organizations will not allow moving to other events."
"How to contact with OCA?

",Curriculum,"Office of Co-curricular Activities (OCA)
Address: level 2
Website: Office of Co-Curricular Activities (OCA) 
Email: student_org@bracu.ac.bd"
What is the process for obtaining logistic support for events?,Curriculum,"The OCA will provide logistics such as sound, light, banners, decoration materials, projector-screens, and poster printing. Clubs must select logistics from the Brac University Procurement facility list, and OCA will handle the requisition. Clubs must confirm their logistic needs in detail to OCA at least 7 working days before the event."
What is the process for arranging food or refreshments for events?,Curriculum,"For refreshments from the Brac University cafeteria, orders must be confirmed by OCA, and payments will be made by the Accounts Office from the club/forum budget (not in cash). For refreshments from outside vendors, financial assistance will be transferred to the club advisor’s bank account as per the approved budget."
What is the process for organizing club outdoor activities or study tours?,Curriculum,"Study tours must align with the club's objectives and require approval from the Registrar through the Director of OCA. Tours should take place during semester breaks and are funded by the club budget. Food costs are allocated at Tk. 200 per day for one-day trips and Tk. 1,000 per day for longer trips. Advisors and co-advisors must accompany students. A Parent Consent Form (signed by guardians) and a list of students with IDs must be submitted to the OCA. Transport requests should be made one week in advance for city tours and two weeks for out-of-town tours. Only active club members can join, and students can participate in one tour per semester."
"What is the process for participating in international competitions, tours, or events?",Curriculum,"To participate in international events, submit a proposal to the OCA, including a detailed budget and required documents. The proposal needs approval from the Director of OCA, Director of Finance/Treasurer, and finally, the VC/Pro-VC. The proposal should include your contributions to the club, membership details, CGPA, reasons for attending, how the experience will benefit BRACU students, and whether you’ve traveled abroad before. Additionally, attach a letter of approval from the club advisor and president. A selection committee may be formed for certain events. After returning, a session must be arranged to share the experience and learning."
What are the admission requirements for undergraduate programs?,Admission,"SSC/Equivalent and HSC/Equivalent(including additional subject):3.5 in SSC and HSC separately
O-level with five subjects and A-level with two subjects as per the scale of A=5, B=4, C=3, D=2
2.5 in O-Level and A-Level separately
Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics
Candidates for BSc in Computer Science and BSc in Mathematics: HSC/ Equivalent(“B” grade in Mathematics),A-levels(“C” grade in Mathematics)
Candidates for BSc in Electronic & Communication Engineering and Electrical & Electronic Engineering who had Physics and Mathematics but not Chemistry in HSC/A-level/Equivalent will have to take a remedial course on Chemistry in addition to the courses required for the program.
Candidates for BSc in Biotechnology and Microbiology should have minimum C grade in Biology and Chemistry in HSC/A-level/Equivalent. Candidates who did not have Mathematics in HSC/A-level/Equivalent must take a remedial course on Mathematics in addition to the courses required for the program.
Candidates who have qualified in HSC/A levels or recognized equivalent examination in current year or two previous years are eligible to apply.
“E” grades will not be considered."
Can I apply for more than one program at the same time?,Admission,"Yes, you can apply for 3 programs at a time"
What documents are required for the application?,Admission,"verified/attested copies of previous academic documents from their Institute/Foreign Ministry (of the country that they studied in) and equivalence certificates from the Board of Intermediate and Secondary Education, Dhaka."
How can I check the status of my application?,Admission,Applicants can check their application status online any time at admissions.bracu.ac.bd 
Is there an application fee? How much is it?,Admission,"Admission Application Fee Tk. 1,500/- Non-Refundable [Through Bkash, Rocket, Nagod, Visa cards, Dhaka Bank Ltd., One Bank Ltd., Southeast Bank Ltd., Brac Bank Ltd. And Prime Bank Ltd]"
How can I correct my mistakes I made in the application form?,Admission,"If applicants make any mistake during filling up their application form and submit it with that error, they are required to send an email immediately at admissions@bracu.ac.bd to inform the authority. But till submission you can edit the form any time."
What are the prerequisites for the Cse program?,Admission,"Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics"
Are there any special admission requirements for the MBA program?,Admission,"Minimum 15 years of schooling with a Bachelor Degree from any discipline and 3 years of professional / executive experience after graduation or 14 years of schooling with 6 or more years of corporate experience having at least 2nd class or CGPA 2.5 out of 4.0 or equivalent (from any government authorized university).
Minimum GPA of 2.5 or 2nd Class in SSC/Equivalent and HSC/Equivalent separately (including additional subject).
Minimum GPA of 2.5 in O-Levels in five subjects and A-Levels in two subjects according to the scale (A=5, B=4, C=3, D=2 and E=1). Only one E is acceptable."
What GPA do I need to be considered for the Engineering program?,Admission,"Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics
Candidates for BSc in Computer Science and BSc in Mathematics: HSC/ Equivalent(“B” grade in Mathematics),A-levels(“C” grade in Mathematics)
Candidates for BSc in Electronic & Communication Engineering and Electrical & Electronic Engineering who had Physics and Mathematics but not Chemistry in HSC/A-level/Equivalent will have to take a remedial course on Chemistry in addition to the courses required for the program."
How do I transfer credits from another university?,Admission,"Transfer of credits from an educational institution following a system
similar to BRAC University may be considered after passing the
admission test. Such candidates will have to apply with required
documents and decision on such cases will be determined by the credit
transfer policy of BRAC University"
How can I find out if my credits will transfer?,Admission,"Courses that are similar in content with BRACU or that have equivalence with BRACU may be considered for transfer. However courses that are not directly equivalent or similar to BRACU courses may be transferred as elective courses based on approval of the credit transfer committee.
The credit transfer from other universities will not exceed 50% of the credits required for degree completion at BRAC University except Architecture.
The total credits transferred by a student from other universities should not exceed 65 credits including maximum of 21 credits in design studio courses for students of Architecture.
"
What is the process for applying as a transfer student?,Admission,"Original transcripts and prospectus of the university /program showing academic system, grading system and course descriptions (course outlines, if available) etc. should be submitted with the credit transfer form, available at registrar’s office and at our webpage, to the concerned department."
How do I contact the admissions office?,Admission,you can mail to admissions@bracu.ac.bd
What are the important dates and deadlines for admission?,Admission,please visit bracu.ac.bd
When is the next intake for the undergraduate program?,Admission,please visit bracu.ac.bd
What is the process for withdrawal of admission? ,Admission,"To withdraw from an admission, students must have to apply for admission withdrawal through email. Farzana apu (f.yeasmin@bracu.ac.bd) Office of the Registrar."
 How many bus routes are there?,Transportation,There are 9 bus routes for Brac University transportation. 
 What is the last time to catch a bus?,Transportation,"Last Outbound Timing (drop off) from Basement 01:
BRAC University to Abdullahpur: Route No-01(5:10 PM)
BRAC University to Mirpur-A: Route No-02(5:15 PM)
BRAC University to Mirpur-B: Route No-02(5:10 PM)
BRAC University to Jigatola: Route No-03(5:10 PM)
BRAC University to Azimpur: Route No-04(2:10 PM)
BRAC University to Jatrabari: Route No-05(5:15 PM)
BRAC University to Baldha Garden: Route No-06(5:15 PM)
BRAC University to Mohammadpur: Route No-07(5:10 PM)
BRAC University to Narayanganj: Route No-08(5:15 PM )   
BRAC University to Bashundhara: Route No-09(5:10 PM)"
What is the fare for buses?,Transportation,"Fare (except for Narayanganj and Bashundhara routes): BDT 100 (Taka One Hundred Only) for each passenger for each trip. For round trip (coming and going), BDT 200 (Taka Two Hundred Only).
"
Does BracU transportation go to Narayangonj?,Transportation,"Yes, BracU transportation goes to Narayangonj?"
 Can i use Bkash payment to avail the bus?,Transportation,bKash only accepted on Route-02: Mirpur-A to BRAC University.
Where can i get the bus tickets from?,Transportation,Fare needs to be paid in cash to service attendants inside the buses.
From where does the bus leave on campus?,Transportation,The bus leave campus from the Basement-1
 Can i bring a guardian to commute with me?,Transportation,"Unfortunately no, The bus is for transporting students only. The passengers should display individual ID cards prior to boarding."
 What is the payment for self driven car parking?,Transportation,For Registered vehicles it's 5000Tk per semester and for non-registered vehicles it's Tk60 for first 4 hours Tk 20 for every additional hour. 
What is the payment for driver driven car parking?,Transportation,For Registered vehicles it's 5000Tk per semester and for non-registered vehicles it's Tk60 for first 4 hours Tk 20 for every additional hour. 
What is  the payment for motorcycle parking?,Transportation,For Registered vehicles it's 1500Tk per semester and for non-registered vehicles it's Tk 30 for first 4 hours Tk 10 for every additional hour.
How long can i park my vehicle on campus?,Transportation,As long as you're paying the parking fee
Where do i have to park the vehicle?,Transportation,You can park your vehicle at basement-2.
Does BracU transportation go to Dhanmondi?,Transportation,"Yes,  BracU transportation go to Dhanmondi."
Does BracU transportation go to Azimpur?,Transportation,"Yes,  BracU transportation go to Azimpur."
What is the fare for the Bashundhara route?,Transportation,"For each trip on the Bashundhara route, the fare for each passenger is BDT 50 (Taka Fifty Only). For round trip (coming and going), it is BDT 100 (Taka One Hundred Only)."
What is the fare for the Narayanganj route?,Transportation,"For each trip on the Narayanganj route, the fare for each passenger is BDT 150 (Taka One Hundred and Fifty Only). For a round trip (coming and going), it is BDT 300 (Taka Three Hundred Only)."
